"codigo_pedido","codigo_producto","cantidad","precio_unidad","numero_linea"
1,"FR-67",10,70.00,3
1,"OR-127",40,4.00,1
1,"OR-141",25,4.00,2
1,"OR-241",15,19.00,4
1,"OR-99",23,14.00,5
2,"FR-4",3,29.00,6
2,"FR-40",7,8.00,7
2,"OR-140",50,4.00,3
2,"OR-141",20,5.00,2
2,"OR-159",12,6.00,5
2,"OR-227",67,64.00,1
2,"OR-247",5,462.00,4
3,"FR-48",120,9.00,6
3,"OR-122",32,5.00,4
3,"OR-123",11,5.00,5
3,"OR-213",30,266.00,1
3,"OR-217",15,65.00,2
3,"OR-218",24,25.00,3
4,"FR-31",12,8.00,7
4,"FR-34",42,8.00,6
4,"FR-40",42,9.00,8
4,"OR-152",3,6.00,5
4,"OR-155",4,6.00,3
4,"OR-156",17,9.00,4
4,"OR-157",38,10.00,2
4,"OR-222",21,59.00,1
8,"FR-106",3,11.00,1
8,"FR-108",1,32.00,2
8,"FR-11",10,100.00,3
9,"AR-001",80,1.00,3
9,"AR-008",450,1.00,2
9,"FR-106",80,8.00,1
9,"FR-69",15,91.00,2
10,"FR-82",5,70.00,2
10,"FR-91",30,75.00,1
10,"OR-234",5,64.00,3
11,"AR-006",180,1.00,3
11,"OR-247",80,8.00,1
12,"AR-009",290,1.00,1
13,"11679",5,14.00,1
13,"21636",12,14.00,2
13,"FR-11",5,100.00,3
14,"FR-100",8,11.00,2
14,"FR-13",13,57.00,1
15,"FR-84",4,13.00,3
15,"OR-101",2,6.00,2
15,"OR-156",6,10.00,1
15,"OR-203",9,10.00,4
16,"30310",12,12.00,1
16,"FR-36",10,9.00,2
17,"11679",5,14.00,1
17,"22225",5,12.00,3
17,"FR-37",5,9.00,2
17,"FR-64",5,22.00,4
17,"OR-136",5,18.00,5
18,"22225",4,12.00,2
18,"FR-22",2,4.00,1
18,"OR-159",10,6.00,3
19,"30310",9,12.00,5
19,"FR-23",6,8.00,4
19,"FR-75",1,32.00,2
19,"FR-84",5,13.00,1
19,"OR-208",20,4.00,3
20,"11679",14,14.00,1
20,"30310",8,12.00,2
21,"21636",5,14.00,3
21,"FR-18",22,4.00,1
21,"FR-53",3,8.00,2
22,"OR-240",1,6.00,1
23,"AR-002",110,1.00,4
23,"FR-107",50,22.00,3
23,"FR-85",4,70.00,2
23,"OR-249",30,5.00,1
24,"22225",3,15.00,1
24,"FR-1",4,7.00,4
24,"FR-23",2,7.00,2
24,"OR-241",10,20.00,3
25,"FR-77",15,69.00,1
25,"FR-9",4,30.00,3
25,"FR-94",10,30.00,2
26,"FR-15",9,25.00,3
26,"OR-188",4,25.00,1
26,"OR-218",14,25.00,2
27,"OR-101",22,6.00,2
27,"OR-102",22,6.00,3
27,"OR-186",40,6.00,1
28,"FR-11",8,99.00,3
28,"OR-213",3,266.00,2
28,"OR-247",1,462.00,1
29,"FR-82",4,70.00,4
29,"FR-9",4,28.00,1
29,"FR-94",20,31.00,5
29,"OR-129",2,111.00,2
29,"OR-160",10,9.00,3
30,"AR-004",10,1.00,6
30,"FR-108",2,32.00,2
30,"FR-12",2,19.00,3
30,"FR-72",4,31.00,5
30,"FR-89",10,45.00,1
30,"OR-120",5,5.00,4
31,"AR-009",25,2.00,3
31,"FR-102",1,20.00,1
31,"FR-4",6,29.00,2
32,"11679",1,14.00,4
32,"21636",4,15.00,5
32,"22225",1,15.00,3
32,"OR-128",29,100.00,2
32,"OR-193",5,20.00,1
33,"FR-17",423,2.00,4
33,"FR-29",120,8.00,3
33,"OR-214",212,10.00,2
33,"OR-247",150,462.00,1
34,"FR-3",56,7.00,4
34,"FR-7",12,29.00,3
34,"OR-172",20,18.00,1
34,"OR-174",24,18.00,2
35,"21636",12,14.00,4
35,"FR-47",55,8.00,3
35,"OR-165",3,10.00,2
35,"OR-181",36,10.00,1
35,"OR-225",72,10.00,5
36,"30310",4,12.00,2
36,"FR-1",2,7.00,3
36,"OR-147",6,7.00,4
36,"OR-203",1,12.00,5
36,"OR-99",15,13.00,1
37,"FR-105",4,70.00,1
37,"FR-57",203,8.00,2
37,"OR-176",38,10.00,3
38,"11679",5,14.00,1
38,"21636",2,14.00,2
39,"22225",3,12.00,1
39,"30310",6,12.00,2
40,"AR-001",4,1.00,1
40,"AR-002",8,1.00,2
41,"AR-003",5,1.00,1
41,"AR-004",5,1.00,2
42,"AR-005",3,1.00,1
42,"AR-006",1,1.00,2
43,"AR-007",9,1.00,1
44,"AR-008",5,1.00,1
45,"AR-009",6,1.00,1
45,"AR-010",4,1.00,2
46,"FR-1",4,7.00,1
46,"FR-10",8,7.00,2
47,"FR-100",9,11.00,1
47,"FR-101",5,13.00,2
48,"FR-102",1,18.00,1
48,"FR-103",1,25.00,2
48,"OR-234",50,64.00,1
48,"OR-236",45,49.00,2
48,"OR-237",50,19.00,3
49,"OR-204",50,10.00,1
49,"OR-205",10,10.00,2
49,"OR-206",5,5.00,3
50,"OR-225",12,10.00,1
50,"OR-226",15,38.00,2
50,"OR-227",44,64.00,3
51,"OR-209",50,10.00,1
51,"OR-210",80,39.00,2
51,"OR-211",70,59.00,3
53,"FR-2",1,7.00,1
53,"FR-85",1,70.00,3
53,"FR-86",2,11.00,2
